kod_kraj,naz_kraj,pocet_obyvatel,prumerna_kriminalita_3_roky,kriminalita_na_cloveka,Index bezpečnosti
3018,Hlavní město Praha,1397880,7200.67,0.00515113,0.0
3115,Jihomoravský kraj,1229343,3608.57,0.00293537,0.750028
3034,Jihočeský kraj,653227,1968.31,0.00301321,0.723679
3051,Karlovarský kraj,293195,1075.38,0.0036678,0.502102
3107,Kraj Vysočina,517647,1196.26,0.00231096,0.961387
3085,Královéhradecký kraj,555923,1501.48,0.00270087,0.829404
3077,Liberecký kraj,449494,1652.95,0.00367736,0.498865
3140,Moravskoslezský kraj,1182613,4670.4,0.00394922,0.406841
3123,Olomoucký kraj,631500,2002.1,0.00317038,0.670477
3093,Pardubický kraj,530469,1165.38,0.00219689,1.0
3042,Plzeňský kraj,614640,1955.88,0.00318216,0.66649
3026,Středočeský kraj,1466215,4034.71,0.00275179,0.812168
3131,Zlínský kraj,578998,1394.67,0.00240876,0.928283
3069,Ústecký kraj,808356,3678.98,0.00455118,0.203081
