kod_okresu,okres,Cena bydlení,Kvalita ovzduší,index
CZ0100,Praha,,0.256,0.256
CZ0201,Benešov,0.674,,0.674
CZ0202,Beroun,0.644,0.333,0.489
CZ0203,Kladno,0.603,0.333,0.468
CZ0204,Kolín,0.686,,0.686
CZ0205,Kutná Hora,0.728,0.667,0.697
CZ0206,Mělník,0.653,,0.653
CZ0207,Mladá Boleslav,0.657,0.667,0.662
CZ0208,Nymburk,0.69,0.667,0.679
CZ0209,Praha-východ,0.415,1.0,0.708
CZ020A,Praha-západ,0.444,,0.444
CZ020B,Příbram,0.706,0.333,0.519
CZ020C,Rakovník,0.705,,0.705
CZ0311,České Budějovice,0.623,0.667,0.645
CZ0312,Český Krumlov,0.737,,0.737
CZ0313,Jindřichův Hradec,0.76,,0.76
CZ0314,Písek,0.752,,0.752
CZ0315,Prachatice,0.793,0.667,0.73
CZ0316,Strakonice,0.76,1.0,0.88
CZ0317,Tábor,0.746,0.333,0.539
CZ0321,Domažlice,0.779,,0.779
CZ0322,Klatovy,0.766,,0.766
CZ0323,Plzeň-město,0.566,0.667,0.616
CZ0324,Plzeň-jih,0.763,,0.763
CZ0325,Plzeň-sever,0.734,,0.734
CZ0326,Rokycany,0.74,0.333,0.536
CZ0327,Tachov,0.787,0.333,0.56
CZ0411,Cheb,0.825,,0.825
CZ0412,Karlovy Vary,0.769,,0.769
CZ0413,Sokolov,0.861,0.667,0.764
CZ0421,Děčín,0.836,0.333,0.585
CZ0422,Chomutov,0.826,0.667,0.747
CZ0423,Litoměřice,0.764,0.667,0.716
CZ0424,Louny,0.823,,0.823
CZ0425,Most,0.799,0.333,0.566
CZ0426,Teplice,0.815,0.333,0.574
CZ0427,Ústí nad Labem,0.736,0.333,0.535
CZ0511,Česká Lípa,0.787,0.667,0.727
CZ0512,Jablonec nad Nisou,0.744,0.667,0.706
CZ0513,Liberec,0.663,0.833,0.748
CZ0514,Semily,0.747,,0.747
CZ0521,Hradec Králové,0.599,0.833,0.716
CZ0522,Jičín,0.745,,0.745
CZ0523,Náchod,0.8,,0.8
CZ0524,Rychnov nad Kněžnou,0.749,0.667,0.708
CZ0525,Trutnov,0.764,0.667,0.715
CZ0531,Chrudim,0.765,0.667,0.716
CZ0532,Pardubice,0.609,0.833,0.721
CZ0533,Svitavy,0.772,0.333,0.553
CZ0534,Ústí nad Orlicí,0.774,,0.774
CZ0631,Havlíčkův Brod,0.77,,0.77
CZ0632,Jihlava,0.681,1.0,0.841
CZ0633,Pelhřimov,0.776,0.667,0.721
CZ0634,Třebíč,0.751,0.667,0.709
CZ0635,Žďár nad Sázavou,0.722,,0.722
CZ0641,Blansko,0.719,,0.719
CZ0642,Brno-město,0.347,0.444,0.396
CZ0643,Brno-venkov,0.665,,0.665
CZ0644,Břeclav,0.704,0.667,0.685
CZ0645,Hodonín,0.761,,0.761
CZ0646,Vyškov,0.696,,0.696
CZ0647,Znojmo,0.736,0.333,0.535
CZ0711,Jeseník,0.838,0.667,0.753
CZ0712,Olomouc,0.682,0.333,0.507
CZ0713,Prostějov,0.769,0.667,0.718
CZ0714,Přerov,0.814,0.667,0.741
CZ0715,Šumperk,0.794,,0.794
CZ0721,Kroměříž,0.795,0.333,0.564
CZ0722,Uherské Hradiště,0.766,0.333,0.549
CZ0723,Vsetín,0.768,0.667,0.717
CZ0724,Zlín,0.699,0.833,0.766
CZ0801,Bruntál,0.863,,0.863
CZ0802,Frýdek-Místek,0.737,0.667,0.702
CZ0803,Karviná,0.795,0.333,0.564
CZ0804,Nový Jičín,0.791,0.667,0.729
CZ0805,Opava,0.749,1.0,0.874
CZ0806,Ostrava-město,0.693,0.0,0.346
